#OTU Table	T7-PEsoilR-25-1	T7-PEsoilR-25-2	T7-PEsoilR-25-3	T7-PEsoilR-25-4	T7-PEsoilR-25-5	T7-PEsoilR-25-6	T7-PEsoilR-50-2	T7-PEsoilR-50-3	T7-PEsoilR-50-4	T7-PEsoilR-50-5	T7-PEsoilR-50-6	T7-PEsoilR-noAs-1	T7-PEsoilR-noAs-2	T7-PVsoilR-25-1	T7-PVsoilR-25-2	T7-PVsoilR-25-3	T7-PVsoilR-25-4	T7-PVsoilR-25-5	T7-PVsoilR-25-6	T7-PVsoilR-50-1	T7-PVsoilR-50-3	T7-PVsoilR-50-4	T7-PVsoilR-50-5	T7-PVsoilR-50-6	T7-PVsoilR-noAs-1	T7-PVsoilR-noAs-3
sp133	16	8	0	33	33	19	23	24	39	40	29	17	25	44	8	34	0	0	0	0	27	0	31	17	28	41
sp134	19	43	61	48	76	38	19	21	26	22	48	175	107	27	0	32	0	0	0	22	30	0	22	17	33	45
sp135	27	0	44	0	40	0	33	0	0	47	25	36	47	53	0	52	0	0	0	0	34	29	0	40	28	73
sp136	27	0	0	29	0	38	0	0	0	0	0	25	0	60	22	0	0	0	0	0	0	0	0	0	0	0
sp137	0	0	0	0	0	0	0	0	67	53	49	22	0	59	0	47	0	0	51	49	0	59	0	0	0	0
sp139	6	0	0	0	0	0	0	21	0	0	13	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0
sp141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
sp142	12	0	25	21	45	0	17	0	0	67	66	29	31	114	60	93	0	7	0	20	51	0	0	0	0	0
sp143	15	26	0	41	28	27	0	13	21	17	24	62	48	23	26	20	0	0	0	0	0	25	15	21	17	77
sp146	0	0	0	0	26	0	0	0	0	0	0	0	0	38	0	0	0	0	33	0	0	35	0	41	43	65
sp147	0	0	0	0	0	0	0	45	47	0	0	0	0	64	0	84	0	0	27	52	55	0	40	0	0	0
sp148	0	31	34	0	30	32	46	40	0	44	0	60	31	64	30	56	0	23	0	17	0	0	0	0	0	0
sp149	0	0	0	0	0	0	0	0	0	0	0	0	25	28	0	0	0	0	0	0	0	0	0	0	0	0
