"","taxon","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold"
"14410","sp27828",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14411","sp27839",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14412","sp27840",1.01129691254764,-0.0240454731723016,0.18628020666797,-0.12908227665412,0.897292545854553,NA,"PE vs. PV","Not_Enriched"
"14413","sp27860",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14414","sp27893",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14415","sp27903",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14416","sp27921",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14417","sp27922",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14418","sp27936",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14419","sp27940",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14420","sp27954",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14421","sp27974",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14422","sp27994",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14423","sp27998",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14424","sp28020",1.0154931652968,-0.0359195730393774,0.185917016752153,-0.193202180558125,0.846800631071977,NA,"PE vs. PV","Not_Enriched"
"14425","sp28025",1.01129691254764,-0.0240454731723016,0.18628020666797,-0.12908227665412,0.897292545854553,NA,"PE vs. PV","Not_Enriched"
"14426","sp28046",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14427","sp28049",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14428","sp28051",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14429","sp28053",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14430","sp28056",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14431","sp28061",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14432","sp28091",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14433","sp28106",1.01129691254764,-0.0240454731723016,0.18628020666797,-0.12908227665412,0.897292545854553,NA,"PE vs. PV","Not_Enriched"
"14434","sp28109",1.01129691254764,-0.0240454731723016,0.18628020666797,-0.12908227665412,0.897292545854553,NA,"PE vs. PV","Not_Enriched"
"14435","sp28113",1.01129691254764,-0.0240454731723016,0.18628020666797,-0.12908227665412,0.897292545854553,NA,"PE vs. PV","Not_Enriched"
"14436","sp28122",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14437","sp28123",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14438","sp28129",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14439","sp28150",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14440","sp28167",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14441","sp28176",1.01129691254764,-0.0240454731723016,0.18628020666797,-0.12908227665412,0.897292545854553,NA,"PE vs. PV","Not_Enriched"
"14442","sp28180",1.01129691254764,-0.0240454731723016,0.18628020666797,-0.12908227665412,0.897292545854553,NA,"PE vs. PV","Not_Enriched"
"14443","sp28181",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14444","sp28186",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14445","sp28198",1.01129691254764,-0.0240454731723016,0.18628020666797,-0.12908227665412,0.897292545854553,NA,"PE vs. PV","Not_Enriched"
"14446","sp28202",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14447","sp28208",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14448","sp28213",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14449","sp28226",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14450","sp28227",1.00710065979848,-0.0120728319384258,0.186650210282858,-0.0646815876613806,0.948427523037042,NA,"PE vs. PV","Not_Enriched"
"14451","sp28228",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14452","sp28248",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14453","sp28250",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14454","sp28255",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14455","sp28261",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14456","sp28302",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14457","sp28327",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14458","sp28341",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14459","sp28343",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14460","sp28344",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14461","sp28345",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14462","sp28359",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14463","sp28373",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14464","sp28393",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14465","sp28394",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14466","sp28401",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14467","sp28403",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14468","sp28409",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14469","sp28431",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14470","sp28435",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14471","sp28440",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14472","sp28442",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14473","sp28446",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
"14474","sp28454",1.00290440704932,-7.287214960283e-11,0.187027203278177,-3.89633958726542e-10,0.999999999689117,NA,"PE vs. PV","Not_Enriched"
